bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
Legacy Bank,Community Bank,FALSE,NA,"30,861",NA,NA,"3,118",NA,NA,"1,885",NA,NA,20,NA,NA,"1,086",,,202,,,222
Legacy Bank & Trust Company,Community Bank,FALSE,NA,"1,368,699","11,179","14,450","20,358","6,961","9,193","11,999",86,93,125,"2,983","3,657","5,657",36,46,443,71,55,79
Legacy National Bank,Community Bank,FALSE,NA,"916,023","14,768","20,190","22,581","8,719","11,185","12,407",98,118,135,"4,340","6,081","7,148",0,0,0,0,0,0
Legacy State Bank,Community Bank,FALSE,NA,"151,320","2,728","2,825","3,031","1,376","1,385","1,554",15,15,16,"1,123","1,085","1,099",0,0,0,0,0,0
"Legacy Trust Company, National Association",Community Bank,FALSE,NA,"33,558","12,075","15,140","15,077","6,186","6,907","7,708",35,35,31,"4,722","6,086","5,666","3,040","3,786","3,194",0,0,0
Legence Bank,Community Bank,FALSE,NA,"653,519","19,099","19,754","20,411","10,837","11,243","11,446",133,152,145,"5,822","6,097","6,475",288,267,283,1,5,28
"Legend Bank, N. A.",Community Bank,FALSE,NA,"962,003","25,556","26,749","29,066","16,261","16,812","18,595",170,174,191,"6,246","6,937","7,042",0,0,0,0,0,0
Legends Bank,Community Bank,FALSE,NA,"486,629","8,567","9,242","9,810","5,560","6,001","6,324",80,87,89,"2,064","2,130","2,361",0,0,0,0,0,0
Legends Bank,Community Bank,FALSE,NA,"826,846","16,750","19,327","19,800","11,101","12,246","12,267",103,110,116,"3,933","5,052","5,379",64,157,285,19,9,37
Leighton State Bank,Community Bank,FALSE,NA,"240,295","6,119","6,192","6,316","3,917","3,851","4,019",36,36,41,"1,605","1,742","1,740",0,70,53,0,2,1
Lena State Bank,Community Bank,FALSE,NA,"94,654","1,521","1,496","1,624",672,607,652,10,9,8,746,798,892,0,0,0,0,0,0
Lewis & Clark Bank,Community Bank,FALSE,NA,"363,014","8,406","8,068","9,092","4,598","4,383","4,594",39,40,42,"2,806","2,807","3,764",433,296,715,115,73,144
Lewisburg Banking Company,Community Bank,FALSE,NA,"173,979","4,078","4,463","4,739","2,157","2,403","2,564",37,37,36,"1,400","1,471","1,651",0,0,0,109,110,258
Lexicon Bank,Community Bank,FALSE,NA,"247,437","4,342","5,844","6,140","2,393","3,014","3,414",19,23,27,"1,308","2,239","2,103",0,0,0,0,168,0
Liberty Bank,Community Bank,FALSE,NA,"59,159","1,732","1,663","1,621",912,"1,026",909,16,15,11,570,430,458,0,0,0,0,0,0
Liberty Bank,Community Bank,FALSE,NA,"127,457","2,390","2,530","2,713","1,676","1,764","1,896",26,26,25,468,507,562,0,0,0,7,0,0
Liberty Bank,Community Bank,FALSE,NA,"183,521","4,940","5,012","5,213","2,826","2,869","3,033",52,54,52,"1,222","1,253","1,263",0,0,0,41,26,36
Liberty Bank,Community Bank,FALSE,NA,"192,927","5,142","5,672","4,797","3,038","3,693","2,773",30,28,22,"1,390","1,344","1,423",0,0,0,0,0,0
Liberty Bank and Trust Company,Community Bank,FALSE,NA,"1,086,331","23,939","25,959","31,045","11,601","12,825","15,109",155,171,177,"6,260","6,926","8,922",,,,,,
Liberty Bank for Savings,Community Bank,FALSE,NA,"881,478","17,114","17,494","19,080","11,235","11,724","12,807",100,101,106,"3,503","3,158","3,479",282,304,425,0,0,0
Liberty Bank Minnesota,Community Bank,FALSE,NA,"290,367","11,112","9,675","8,444","6,448","5,064","3,827",47,49,48,"3,399","3,354","3,233",0,0,0,165,0,0
"Liberty Bank, Inc.",Community Bank,FALSE,NA,"10,835","2,097","1,848","1,634","1,478","1,146",979,21,13,11,465,583,534,0,0,0,0,0,0
"Liberty Bank, N.A.",Community Bank,FALSE,NA,"552,488","3,480","5,109","14,522","2,344","3,587","8,832",16,21,68,976,"1,019","4,442",,,450,,,
Liberty Capital Bank,Community Bank,FALSE,NA,"456,028","6,019","5,720","6,147","4,107","3,831","3,927",31,26,27,"1,614","1,585","1,858",0,0,0,0,0,0
Liberty National Bank,Community Bank,FALSE,NA,"990,001","18,109","19,604","22,804","10,248","10,960","12,571",130,138,154,"5,802","6,347","7,923",0,0,,0,0,
Liberty National Bank,Community Bank,FALSE,NA,"554,328","10,622","11,496","3,675","6,595","6,807","1,861",70,69,61,"2,317","2,732",966,0,0,0,0,0,0
"Liberty Savings Bank, F.S.B.",Community Bank,FALSE,NA,"1,191,883","14,811","18,141","16,093","8,169","9,088","9,069",112,117,108,"3,007","5,571","3,710",519,0,0,0,0,0
Liberty State Bank,Community Bank,FALSE,NA,"124,375","1,388","1,415","1,617",923,955,"1,069",12,12,11,445,435,528,0,0,0,0,0,0
Liberty Trust & Savings Bank,Community Bank,FALSE,NA,"170,719","3,103","3,171","3,050","1,919","2,035","1,928",22,21,20,662,596,580,37,37,37,0,0,0
Libertyville Savings Bank,Community Bank,FALSE,NA,"423,090","9,263","8,763","9,107","5,280","5,341","5,506",48,48,48,"2,691","2,186","2,409",0,0,0,0,0,0
Lifestore Bank,Community Bank,FALSE,NA,"420,575","9,861","10,448","10,465","6,214","6,338","6,393",75,76,74,"2,935","3,227","3,188",134,117,254,158,14,
"Flagstar Bank, National Association",Regional Bank,TRUE,3620000,"90,036,656","496,558","526,726","690,239","292,711","294,555","345,410","2,783","2,696","7,497","118,552","144,631","248,397",0,0,,0,0,
"Limestone Bank, Inc",Community Bank,FALSE,NA,"1,453,555","31,077","30,488","31,945","17,011","17,102","17,997",219,227,222,"9,815","9,095","9,497",0,0,0,0,0,0
Lincoln Federal Savings Bank of Nebraska,Community Bank,FALSE,NA,"371,482","12,835","11,885","11,741","9,063","8,146","7,839",95,97,91,"2,446","2,304","2,506",23,17,60,12,1,2
Lincoln Savings Bank,Community Bank,FALSE,NA,"1,845,139","56,143","62,088","71,726","34,873","40,217","44,303",341,377,422,"15,274","15,464","20,230","1,057","1,126","1,850",,,
Lincoln State Bank,Community Bank,FALSE,NA,"111,099","2,093","2,366","2,513","1,068","1,248","1,291",14,14,14,809,914,980,7,0,0,2,5,0
Lindell Bank & Trust Company,Community Bank,FALSE,NA,"849,272","13,557","20,240","19,796","6,579","9,149","9,323",104,139,142,"3,004","4,914","4,379",0,0,0,0,145,176
Lineage Bank,Community Bank,FALSE,NA,"242,664",672,"5,078","10,252",301,"2,987","7,088",5,36,62,296,"1,638","2,372",0,186,,0,0,
LINKBANK,Community Bank,FALSE,NA,"1,153,211","8,019","16,675","27,292","4,544","6,918","16,224",48,106,131,"2,882","8,719","8,691",215,0,681,,0,0
Lisle Savings Bank,Community Bank,FALSE,NA,"580,200","8,150","8,540","8,758","4,702","5,051","5,183",58,57,55,"2,528","2,693","2,849",0,0,0,0,0,0
Little Horn State Bank,Community Bank,FALSE,NA,"161,765","3,579","4,009","4,570","1,993","2,160","2,282",25,26,28,"1,209","1,414","1,375",0,0,0,33,9,40
Llano National Bank,Community Bank,FALSE,NA,"299,543","5,661","6,232","6,614","3,424","3,463","3,828",45,43,45,"1,721","2,259","2,264",0,0,0,0,0,0
LNB Community Bank,Community Bank,FALSE,NA,"154,151","4,696","4,596","4,796","2,573","2,716","2,824",34,35,35,"1,641","1,421","1,486",0,0,0,0,0,0
Local Bank,Community Bank,FALSE,NA,"31,655",521,509,"1,352",278,253,806,7,5,10,154,172,325,0,0,0,4,0,0
Locality Bank,Community Bank,FALSE,NA,"116,385",NA,NA,"6,230",NA,NA,"2,529",NA,NA,20,NA,NA,"3,521",,,0,,,0
Logan Bank & Trust Company,Community Bank,FALSE,NA,"322,312","5,804","5,971","6,502","3,246","3,198","3,349",57,56,55,"2,018","2,278","2,668",0,0,0,41,47,73
Logan County Bank,Community Bank,FALSE,NA,"103,044","1,416","1,467","1,629",775,785,830,13,13,14,364,352,343,0,0,0,0,0,0
Logan State Bank,Community Bank,FALSE,NA,"76,243","1,884","2,158","1,893","1,167","1,386","1,140",13,11,12,441,506,476,0,0,0,0,0,0
Logansport Savings Bank,Community Bank,FALSE,NA,"254,999","5,764","6,038","5,924","3,485","3,737","3,555",30,32,32,"1,934","1,936","2,021",52,53,32,18,18,17
Lone Star Bank,Community Bank,FALSE,NA,"160,801","3,979","4,463","4,318","2,198","2,527","2,648",24,26,26,"1,372","1,545","1,270",0,0,0,0,0,0
"Lone Star Capital Bank, National Association",Community Bank,FALSE,NA,"477,356","8,679","11,695","12,576","5,042","6,347","7,421",65,77,76,"2,123","3,451","3,019",0,0,0,0,0,0
Lone Star State Bank of West Texas,Community Bank,FALSE,NA,"1,433,961","18,591","19,502","21,776","12,485","13,522","15,301",90,91,94,"4,812","4,653","5,184",0,0,0,627,691,0
Longview Bank,Community Bank,FALSE,NA,"283,286","4,549","4,839","5,427","2,842","2,994","3,437",42,43,46,"1,227","1,367","1,499",0,0,0,0,0,0
Longview Bank & Trust,Community Bank,FALSE,NA,"262,643","4,384","4,802","4,897","2,577","2,868","2,987",42,43,40,"1,292","1,402","1,410",0,0,0,0,0,0
Longview Community Bank,Community Bank,FALSE,NA,"68,257","1,211","1,170","1,348",584,607,701,10,10,13,482,451,478,0,0,0,6,27,13
Louisiana National Bank,Community Bank,FALSE,NA,"447,424","10,510","12,029","14,034","5,975","6,873","8,401",72,79,81,"2,752","2,864","3,228",0,0,0,0,0,0
Lovelady State Bank,Community Bank,FALSE,NA,"55,113","1,617","1,705","1,710",970,956,889,12,11,10,515,613,691,0,0,0,0,0,0
Lowry State Bank,Community Bank,FALSE,NA,"72,812","1,534","1,583","1,659",956,953,"1,033",10,10,14,420,490,465,0,0,0,0,0,0
Loyal Trust Bank,Community Bank,FALSE,NA,"135,640","4,561","5,198","5,232","3,146","3,205","3,126",19,15,17,991,"1,571","1,673",0,0,142,0,0,0
Lumbee Guaranty Bank,Community Bank,FALSE,NA,"484,339","11,034","11,572","11,373","6,184","6,525","6,299",97,92,99,"3,268","3,440","3,488",0,0,0,0,0,0
Luminate Bank,Community Bank,FALSE,NA,"156,413","3,944","3,646","38,932","2,660","2,278","26,225",18,20,271,964,"1,048","10,043",0,147,885,0,0,311
Lusitania Savings Bank,Community Bank,FALSE,NA,"383,686","5,325","5,765","5,802","3,421","3,716","3,630",34,38,37,898,999,"1,098",0,0,0,19,0,0
Lusk State Bank,Community Bank,FALSE,NA,"72,876","1,484","1,464",936,871,833,497,8,8,6,481,480,307,0,0,0,0,0,0
Luzerne Bank,Community Bank,FALSE,NA,"549,688","10,171","10,804","11,256","5,181","5,597","5,994",73,70,64,"3,073","3,156","3,320",295,180,121,96,93,127
Lyons Federal Bank,Community Bank,FALSE,NA,"160,450","3,617","3,468","3,658","2,014","2,026","2,079",24,21,24,"1,152","1,013","1,129",0,0,0,0,0,0
M C Bank & Trust Company,Community Bank,FALSE,NA,"382,062","9,312","10,210","11,148","5,083","5,609","6,222",77,75,79,"2,449","2,665","2,812",0,0,0,151,0,0
"M.Y. Safra Bank, FSB",Community Bank,FALSE,NA,"354,791","13,459","8,453","7,978","4,881","4,513","4,628",28,22,23,"6,666","2,630","2,376","4,803",618,370,0,424,0
M1 Bank,Community Bank,FALSE,NA,"828,250","4,974","6,486","6,995","2,071","2,794","3,893",22,27,30,"1,788","2,348","3,320",0,0,0,0,0,0
MA Bank,Community Bank,FALSE,NA,"352,825","8,148","7,958","8,126","4,443","4,325","4,392",62,66,67,"3,096","2,904","2,966",74,152,153,569,279,77
Mabrey Bank,Community Bank,FALSE,NA,"1,577,103","38,489","42,512","46,701","23,755","25,930","28,253",250,251,256,"10,359","11,968","13,461",0,0,0,0,0,0
Macon Bank and Trust Company,Community Bank,FALSE,NA,"590,027","11,397","11,919","12,749","7,160","7,341","7,764",104,103,104,"3,111","3,388","3,708",0,0,0,107,0,0
Madison County Bank,Community Bank,FALSE,NA,"596,220","10,311","10,476","10,099","6,473","6,877","6,783",63,66,68,"2,929","2,476","2,255",0,0,0,0,0,0
Freedom Bank,Community Bank,TRUE,8250,"141,945","2,732","3,443","3,457","1,744","1,772","2,130",21,23,27,723,"1,293",968,0,0,0,0,0,0
Madison Valley Bank,Community Bank,FALSE,NA,"265,130","5,902","6,146","6,045","3,313","3,514","3,468",48,44,46,"1,788","1,971","1,956",0,0,0,0,0,0
"Magnolia Bank, Inc",Community Bank,FALSE,NA,"448,996","92,973","92,985","56,237","63,224","57,740","31,667",368,376,248,"27,695","33,243","22,778",,,,,,
Magnolia State Bank,Community Bank,FALSE,NA,"420,883","10,630","11,354","12,274","5,335","5,613","5,997",88,87,87,"3,663","4,048","4,519",0,0,0,205,207,336
Magnolia State Bank,Community Bank,FALSE,NA,"220,902","6,446","6,056","6,041","1,586","1,355","1,574",48,44,42,"3,985","3,854","3,715",0,0,0,0,0,0
Magyar Bank,Community Bank,FALSE,NA,"821,617","17,880","18,254","17,591","9,553","10,087","10,313",98,95,91,"5,156","4,938","3,974",0,514,0,980,566,0
Main Bank,Community Bank,FALSE,NA,"244,530","3,473","3,809","4,713","1,878","2,039","2,041",17,15,18,"1,343","1,516","2,376",0,0,0,0,0,0
Main Street Bank,Community Bank,FALSE,NA,"1,462,905","30,552","33,714","33,057","16,664","19,031","18,877",167,167,181,"8,740","9,623","9,244",0,0,0,0,0,0
Main Street Bank Corp.,Community Bank,FALSE,NA,"604,276","10,750","10,602","11,882","6,686","6,415","7,243",72,81,80,"2,978","3,101","3,337",0,0,0,0,0,0
Maine Community Bank,Community Bank,FALSE,NA,"1,004,289","22,928","23,810","25,550","12,974","13,999","14,833",156,162,152,"7,435","7,099","7,473",0,0,0,0,0,0
MainStreet Bank,Community Bank,FALSE,NA,"1,924,469","30,297","32,865","39,031","17,979","19,344","23,850",126,138,168,"8,920","9,512","10,924",,,,38,269,170
Mainstreet Community Bank of Florida,Community Bank,FALSE,NA,"747,614","14,941","15,932","16,532","8,851","9,344","9,769",102,102,103,"4,596","4,952","5,063",0,0,0,0,0,0
"Malaga Bank, FSB",Community Bank,FALSE,NA,"1,508,627","12,097","12,245","13,135","7,215","7,240","7,623",73,74,75,"3,505","3,624","4,040",0,0,0,0,0,0
Malvern Bank,Community Bank,FALSE,NA,"184,684","4,093","4,370","5,030","2,092","2,270","2,579",22,23,23,"1,353","1,462","1,750",0,0,0,0,0,0
Malvern Bank NA,Community Bank,FALSE,NA,"1,017,629","18,293","20,703","23,143","9,037","9,165","9,680",80,79,76,"7,204","9,582","11,304",571,679,0,627,"1,585","1,855"
Manhattan Bank,Community Bank,FALSE,NA,"263,248","4,922","5,336","5,643","3,102","3,147","3,383",37,39,39,"1,346","1,525","1,593",,,,,,
Manufacturers Bank & Trust Company,Community Bank,FALSE,NA,"762,741","10,874","12,840","17,484","7,064","8,197","11,379",71,111,120,"2,036","2,608","3,156",182,128,0,0,0,0
"Maple City Savings Bank, FSB",Community Bank,FALSE,NA,"111,354","3,131","3,396","3,638","1,698","1,851","1,894",27,30,31,968,"1,062","1,198",0,0,0,0,0,0
MapleMark Bank,Community Bank,FALSE,NA,"1,123,771","18,341","22,356","22,610","10,716","14,566","13,734",60,68,66,"5,437","5,462","6,432",498,0,559,0,0,0
Maquoketa State Bank,Community Bank,FALSE,NA,"397,356","8,471","8,232","8,303","4,704","4,587","4,665",60,54,55,"3,160","3,091","3,112",0,0,0,0,0,0
Marathon Bank,Community Bank,FALSE,NA,"236,600","5,205","5,647","5,676","3,150","3,361","3,291",34,33,33,"1,331","1,514","1,608",0,0,0,0,0,0
Marblehead Bank,Community Bank,FALSE,NA,"280,576","7,903","8,015","8,235","5,343","5,291","5,135",48,49,46,"1,787","1,886","2,242",0,0,0,0,0,0
Marine Bank,Community Bank,FALSE,NA,"687,271","21,421","21,740","21,765","14,614","14,899","14,643",194,178,170,"4,963","5,127","5,301",0,0,0,0,0,0
Goppert State Service Bank,Community Bank,TRUE,35000,"251,508","5,429","6,212","6,586","3,152","3,604","4,060",51,55,56,"1,407","1,704","1,528",140,149,151,0,0,0
Marion Center Bank,Community Bank,FALSE,NA,"384,938","8,807","9,631","10,492","5,203","5,588","5,830",82,78,77,"2,897","3,322","3,913",115,213,242,57,57,41
Marion Community Bank,Community Bank,FALSE,NA,"300,239","7,508","7,747","8,300","3,479","3,704","4,204",49,50,56,"3,366","3,285","3,293",0,0,0,429,0,0
Marion County State Bank,Community Bank,FALSE,NA,"631,282","10,818","11,216","11,639","7,088","7,395","7,544",63,62,58,"2,724","2,819","3,172",28,30,33,0,0,0
Marion State Bank,Community Bank,FALSE,NA,"141,227","2,540","2,635","2,804","1,497","1,546","1,643",16,15,15,858,912,995,0,0,0,0,0,0
Marion State Bank,Community Bank,FALSE,NA,"219,512","6,822","6,906","7,057","4,214","4,229","4,370",53,52,49,"1,876","1,902","1,987",,,,,,
Marquette Farmers State Bank of Marquette Kansas,Community Bank,FALSE,NA,"30,981",814,733,754,476,383,382,6,6,5,276,291,335,0,0,0,0,0,0
Marquette Savings Bank,Community Bank,FALSE,NA,"1,126,810","22,057","22,456","26,764","11,112","11,174","12,868",135,140,147,"6,930","7,493","8,938",410,0,0,0,0,0
Mars Bank,Community Bank,FALSE,NA,"514,573","11,948","12,167","13,260","6,836","7,034","7,978",73,73,79,"3,529","3,434","3,383",374,0,0,0,0,0
Marseilles Bank,Community Bank,FALSE,NA,"69,980","1,221","1,304","1,417",614,613,708,11,11,10,472,553,573,4,2,0,0,0,0
Marshall County State Bank,Community Bank,FALSE,NA,"39,217",514,492,503,304,293,288,6,4,5,191,174,190,0,0,0,0,0,0
Martha's Vineyard Bank,Community Bank,FALSE,NA,"1,307,758","23,508","24,576","27,567","13,056","14,340","14,395",106,103,102,"8,305","7,932","10,794",0,0,0,0,0,0
Martinsville First Savings Bank,Community Bank,FALSE,NA,"35,065","1,086",916,872,435,366,441,5,5,6,518,462,322,0,0,4,160,0,1
Mason Bank,Community Bank,FALSE,NA,"143,946","2,615","2,818","2,969","1,519","1,625","1,761",17,18,17,682,830,809,0,0,0,0,0,0
Mason City National Bank,Community Bank,FALSE,NA,"77,953","1,278","1,324","1,241",806,811,700,10,10,8,280,310,290,0,0,0,0,0,0
Massena Savings and Loan,Community Bank,FALSE,NA,"172,281","3,987","4,029","4,078","2,558","2,583","2,459",24,22,22,"1,037","1,061","1,212",0,0,0,0,0,0
Mauch Chunk Trust Company,Community Bank,FALSE,NA,"610,305","12,394","13,163","14,090","5,899","6,541","6,897",83,89,83,"5,003","5,058","5,601",0,0,439,0,0,0
Maxwell State Bank,Community Bank,FALSE,NA,"27,564",0,"1,075",948,0,675,413,4,6,5,0,337,455,0,0,0,0,0,0
Maynard Savings Bank,Community Bank,FALSE,NA,"71,803","1,136","1,032","1,157",577,580,665,8,8,8,408,327,363,60,14,0,47,39,43
Mayville Savings Bank,Community Bank,FALSE,NA,"74,934","1,524","1,572","1,654",962,963,"1,045",13,12,14,427,462,471,0,0,0,0,0,0
Mayville State Bank,Community Bank,FALSE,NA,"104,154","2,632","2,615","2,639","1,449","1,386","1,384",27,27,26,877,913,941,0,0,0,0,0,0
MCBank,Community Bank,FALSE,NA,"430,706","9,670","10,142","11,984","5,263","5,586","6,200",71,73,77,"3,288","3,403","4,653",52,64,0,290,283,0
McClain Bank,Community Bank,FALSE,NA,"276,068","7,630","7,860","7,823","4,581","4,648","4,605",51,50,48,"2,167","2,280","2,312",0,0,0,0,0,0
McClave State Bank,Community Bank,FALSE,NA,"49,087","1,418","1,256","1,254",742,628,698,10,8,10,606,556,487,0,0,0,133,105,0
McCurtain County National Bank,Community Bank,FALSE,NA,"358,349","5,649","6,335","6,358","3,453","3,778","3,965",63,64,65,"1,459","1,583","1,544",0,0,0,22,2,50
McGehee Bank,Community Bank,FALSE,NA,"156,176","3,698","4,366","3,429","2,164","2,361","2,226",29,29,29,584,883,886,,,,,,
McHenry Savings Bank,Community Bank,FALSE,NA,"328,083","7,388","7,580","7,348","3,745","4,106","4,109",49,52,48,"2,872","2,678","2,419",0,0,0,224,0,0
McIntosh County Bank,Community Bank,FALSE,NA,"114,178","2,179","2,204","2,179","1,456","1,457","1,381",15,15,13,609,643,675,0,0,0,0,0,0
McKenzie Banking Company,Community Bank,FALSE,NA,"187,721","7,674","7,676","8,652","4,205","4,687","5,062",86,80,88,"2,325","1,778","2,383",26,0,0,94,0,0
MCNB Bank and Trust Co.,Community Bank,FALSE,NA,"358,470","9,996","9,475","9,835","4,726","4,652","4,759",68,66,70,"4,022","3,485","3,606",0,277,369,0,0,0
MCS Bank,Community Bank,FALSE,NA,"189,253","4,345","4,745","5,308","2,337","2,581","2,993",39,43,45,"1,726","1,756","1,861",0,0,0,0,0,0
"Meade County Bank, Inc.",Community Bank,FALSE,NA,"343,097","5,399","5,546","6,237","2,844","3,027","3,313",44,46,47,"2,086","2,008","2,379",,,,,,
Meadows Bank,Community Bank,FALSE,NA,"1,240,546","24,111","25,782","29,172","16,437","17,480","20,052",148,148,155,"5,435","6,087","6,663",0,0,0,0,0,0
Mechanics & Farmers Bank,Community Bank,FALSE,NA,"429,685","10,217","11,987","13,445","5,484","6,801","7,057",70,73,78,"3,460","3,766","5,030",0,306,558,0,0,0
Mechanics Bank,Community Bank,FALSE,NA,"774,703","16,230","17,650","19,291","8,770","9,266","10,513",141,137,140,"4,921","5,689","6,005",0,381,380,0,0,0
Mechanics Cooperative Bank,Community Bank,FALSE,NA,"639,977","16,565","16,977","16,442","10,165","9,196","11,009",94,94,96,"4,781","6,254","3,761",0,0,0,0,0,0
Medallion Bank,Community Bank,FALSE,NA,"1,954,652","33,894","35,563","40,522","10,257","12,237","15,086",87,93,118,"22,854","22,537","24,643",0,0,0,0,0,0
Mediapolis Savings Bank,Community Bank,FALSE,NA,"251,841","3,475","3,281","3,463","1,965","1,916","2,068",26,25,26,"1,094",934,936,0,0,0,0,0,0
Mega Bank,Community Bank,FALSE,NA,"473,379","9,656","9,407","10,819","5,540","5,830","7,042",47,47,50,"2,610","2,186","2,312",0,314,377,211,186,316
MEMBERS Trust Company,Community Bank,FALSE,NA,"37,958","24,815","27,710","30,145","7,551","8,181","10,804",43,46,55,"16,560","18,829","18,515",,,,,,
Menard Bank,Community Bank,FALSE,NA,"72,808","1,000","1,068","1,125",598,624,692,12,10,10,264,314,284,0,0,0,0,0,0
